Original_File_Name,Date,County,Med_County_Sales,Rec_County_Sales
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Jefferson,2021406,1858831
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Lake,0,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,La Plata,657993,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Larimer,1207539,1340810
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Mesa,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Moffat,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Montezuma,132833,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Montrose,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Ouray,1,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Park,1,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Pitkin,115179,502231
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Pueblo,460037,1685115
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Routt,170505,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Saguache,1,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,San Miguel,46369,591931
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Sedgwick,1,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Summit,177412,941538
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Teller,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Weld,275556,1291047
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Non-Reported,601347,3801492
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Adams,453206,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Alamosa,1,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Arapahoe,1353297,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Archuleta,1,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Boulder,2715576,3314834
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Chaffee,1,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Clear Creek,102603,375860
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Costilla,1,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Denver,15196933,14364191
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Eagle,181480,379890
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,El Paso,5953327,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Fremont,233349,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Garfield,527700,537711
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Gilpin,39786,138821
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Grand,1,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Gunnison,1,255533
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Jefferson,1845807,1701706
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Lake,0,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,La Plata,623331,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Larimer,1315740,1378589
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Mesa,1,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Moffat,1,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Montezuma,125628,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Montrose,1,0
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Morgan,1,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Ouray,1,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Park,1,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Pitkin,100612,316259
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Pueblo,436843,1386314
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Routt,167807,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Saguache,0,1
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,San Miguel,39758,501532
0914_MarijuanaSalesReport PUBLISH.xlsx,2014-09-30,Sedgwick,1,1
